transaction_id,user_id,merchant_id,transaction_time,amount_inr,payment_method,status,risk_score
TXN100000,350,16,29-01-2026 11:13,2999,Wallet,captured,85
TXN100001,287,27,04-01-2026 11:49,49,UPI,captured,79
TXN100002,122,11,24-01-2026 04:59,1499,Wallet,captured,22
TXN100003,92,22,29-01-2026 13:01,49,Netbanking,captured,100
TXN100004,343,16,30-01-2026 13:51,99,UPI,captured,34
TXN100005,196,3,06-01-2026 22:06,99,UPI,captured,60
TXN100006,236,23,08-01-2026 06:52,99,Wallet,captured,39
TXN100007,13,13,27-01-2026 07:14,99,UPI,captured,51
TXN100008,36,18,11-01-2026 08:55,799,UPI,captured,44
TXN100009,348,35,21-01-2026 16:25,299,UPI,captured,42
TXN100010,134,12,01-01-2026 03:56,49,UPI,captured,74
TXN100011,306,28,09-01-2026 01:06,2999,Card,failed,44
TXN100012,311,33,24-01-2026 10:27,49,Wallet,captured,14
TXN100013,131,3,13-01-2026 18:12,49,UPI,captured,90
TXN100014,276,13,14-01-2026 00:33,1499,UPI,captured,46
TXN100015,170,40,14-01-2026 02:42,99,UPI,captured,40
TXN100016,154,33,22-01-2026 03:46,99,Netbanking,captured,39
TXN100017,207,19,22-01-2026 13:20,2999,Card,captured,70
TXN100018,341,25,05-01-2026 06:26,2999,UPI,captured,86
TXN100019,292,20,24-01-2026 05:39,49,UPI,captured,51
TXN100020,147,14,18-01-2026 00:19,99,Card,captured,55
TXN100021,336,21,26-01-2026 18:38,99,UPI,captured,59
TXN100022,110,33,15-01-2026 14:43,799,UPI,captured,60
TXN100023,338,6,26-01-2026 23:10,799,UPI,chargeback,36
TXN100024,318,22,17-01-2026 21:40,799,Wallet,captured,11
TXN100025,159,15,27-01-2026 07:43,799,UPI,captured,25
TXN100026,126,31,05-01-2026 00:02,49,Card,captured,78
TXN100027,213,37,28-01-2026 02:29,99,UPI,captured,24
TXN100028,254,26,23-01-2026 22:24,99,Wallet,captured,31
TXN100029,3,7,05-01-2026 20:44,1499,UPI,captured,99
TXN100030,266,30,14-01-2026 07:11,499,Card,captured,6
TXN100031,63,30,18-01-2026 07:58,799,UPI,captured,17
TXN100032,272,36,26-01-2026 14:42,149,UPI,captured,76
TXN100033,259,28,11-01-2026 14:39,49,Wallet,captured,70
TXN100034,244,29,15-01-2026 05:47,299,Netbanking,captured,33
TXN100035,327,18,25-01-2026 07:53,149,Card,captured,98
TXN100036,321,16,25-01-2026 16:31,49,UPI,captured,35
TXN100037,147,16,15-01-2026 02:45,2999,Card,captured,34
TXN100038,277,6,11-01-2026 10:57,1499,Card,captured,17
TXN100039,79,14,05-01-2026 07:24,1499,UPI,captured,8
TXN100040,278,30,14-01-2026 13:21,1499,UPI,captured,53
TXN100041,216,25,02-01-2026 06:53,99,UPI,captured,98
TXN100042,295,25,19-01-2026 22:01,1499,UPI,captured,61
TXN100043,200,27,01-01-2026 11:19,149,UPI,captured,68
TXN100044,309,15,24-01-2026 23:34,99,Netbanking,captured,62
TXN100045,249,2,08-01-2026 08:27,299,Wallet,captured,49
TXN100046,208,11,11-01-2026 21:43,4999,Netbanking,captured,59
TXN100047,274,2,30-01-2026 04:39,299,UPI,captured,50
TXN100048,14,6,19-01-2026 18:42,49,Wallet,captured,82
TXN100049,237,12,14-01-2026 04:55,49,UPI,captured,6
TXN100050,109,30,09-01-2026 12:20,99,UPI,captured,41
TXN100051,216,17,11-01-2026 12:17,4999,UPI,captured,10
TXN100052,277,4,16-01-2026 00:47,799,UPI,captured,44
TXN100053,334,3,08-01-2026 20:04,149,Wallet,captured,96
TXN100054,11,40,01-01-2026 07:12,299,UPI,captured,19
TXN100055,343,8,08-01-2026 04:30,99,UPI,captured,72
TXN100056,132,24,07-01-2026 14:44,299,Wallet,captured,21
TXN100057,59,11,20-01-2026 19:47,299,UPI,captured,39
TXN100058,160,37,04-01-2026 18:01,49,Wallet,captured,86
TXN100059,102,5,30-01-2026 12:25,2999,UPI,captured,75
TXN100060,53,20,23-01-2026 20:15,49,Netbanking,captured,87
TXN100061,290,3,20-01-2026 03:50,99,Wallet,captured,44
TXN100062,190,5,18-01-2026 13:42,299,UPI,captured,64
TXN100063,216,32,21-01-2026 10:00,49,Card,captured,13
TXN100064,236,10,14-01-2026 11:40,499,UPI,captured,55
TXN100065,334,18,06-01-2026 23:33,499,Card,captured,78
TXN100066,248,30,26-01-2026 17:49,799,Wallet,captured,55
TXN100067,138,21,27-01-2026 23:37,49,Card,captured,31
TXN100068,231,16,27-01-2026 02:17,49,UPI,captured,96
TXN100069,343,25,15-01-2026 18:39,49,UPI,captured,43
TXN100070,167,12,01-01-2026 15:54,499,Wallet,captured,62
TXN100071,133,22,07-01-2026 11:51,499,UPI,captured,35
TXN100072,142,36,29-01-2026 19:44,799,Wallet,captured,1
TXN100073,124,27,17-01-2026 06:05,499,Wallet,captured,62
TXN100074,244,32,18-01-2026 07:44,149,UPI,captured,57
TXN100075,151,15,26-01-2026 00:05,4999,UPI,captured,51
TXN100076,340,38,23-01-2026 07:19,499,Card,captured,47
TXN100077,177,28,16-01-2026 17:33,299,UPI,captured,95
TXN100078,233,18,18-01-2026 10:22,499,UPI,captured,39
TXN100079,99,21,09-01-2026 07:07,499,UPI,captured,15
TXN100080,95,13,24-01-2026 17:48,2999,Netbanking,failed,27
TXN100081,302,34,24-01-2026 15:17,49,Netbanking,captured,76
TXN100082,100,19,10-01-2026 03:53,2999,Netbanking,captured,29
TXN100083,8,35,12-01-2026 05:19,99,UPI,captured,16
TXN100084,284,19,09-01-2026 01:03,99,UPI,captured,89
TXN100085,252,7,05-01-2026 20:55,2999,Wallet,captured,1
TXN100086,246,29,19-01-2026 09:30,49,Wallet,captured,43
TXN100087,245,8,06-01-2026 01:16,49,UPI,chargeback,8
TXN100088,296,4,13-01-2026 15:04,799,Wallet,captured,19
TXN100089,44,16,05-01-2026 18:19,149,UPI,captured,15
TXN100090,306,40,18-01-2026 13:38,799,Card,captured,28
TXN100091,231,29,25-01-2026 16:24,299,UPI,captured,38
TXN100092,157,37,28-01-2026 18:27,499,Wallet,captured,79
TXN100093,51,14,02-01-2026 19:47,1499,UPI,captured,80
TXN100094,42,11,07-01-2026 08:42,49,Wallet,captured,30
TXN100095,81,1,06-01-2026 17:04,149,UPI,captured,52
TXN100096,241,19,15-01-2026 22:38,299,UPI,captured,4
TXN100097,145,30,08-01-2026 09:45,799,UPI,captured,9
TXN100098,136,38,22-01-2026 07:59,299,Card,captured,84
TXN100099,59,35,26-01-2026 06:27,499,UPI,captured,28
TXN100100,137,10,21-01-2026 04:58,299,UPI,captured,9
TXN100101,158,39,02-01-2026 05:50,499,Netbanking,captured,95
TXN100102,148,29,27-01-2026 18:58,99,Card,captured,15
